Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI
2019-03-07,7660.0,7720.0,7550.0,7660.0,4902.28955078125,17492,1,133.8308603345995,7.1779930121465725,126.65286732245292,68.61377375063482
2019-03-08,7442.89990234375,7599.0,7410.0,7427.2001953125,4753.30126953125,1554,-1,131.23858646066947,3.6685753105732317,127.57001115009624,57.891718674844974
2019-03-11,7470.0,7548.0,7381.0,7511.10009765625,4806.99560546875,553949,1,134.40487593204125,5.467891825556023,128.93698410648523,60.2995480342991
2019-03-12,7600.0,7690.0,7450.0,7600.0,4863.89013671875,42911,1,142.44563766003012,10.806922842835888,131.63871481719423,62.73134031765693
2019-03-13,7811.0,7945.0,7505.0,7811.0,4998.92822265625,29817,1,163.9539764764313,25.85220932738966,138.10176714904165,67.77644649905247
2019-03-14,7830.0,7890.0,7795.0,7830.0,5011.0869140625,35430,1,180.45248721319695,33.880576051324226,146.57191116187272,68.19398034782405
2019-03-15,7895.0,7937.0,7831.0,7895.0,5052.6865234375,29285,1,196.5074174233332,39.94840500916837,156.55901241416484,69.64315054349397
2019-03-18,8033.0,8100.10009765625,7960.0,8033.0,5141.00390625,19992,1,217.85521268855882,49.03696021951518,168.81825246904364,72.50719368920814
2019-03-19,8000.0,8083.89990234375,7960.0,8000.0,5119.88525390625,52175,-1,229.4655341905036,48.51782537716795,180.94770881333565,70.78731492080637
2019-03-20,7699.0,7800.0,7610.0,7699.0,4927.2490234375,16202,-1,211.93555207162171,24.790274606628827,187.1452774649929,57.41068513794665
2019-03-21,7685.0,7800.0,7660.0,7683.7998046875,4917.521484375,343,-1,194.57346443706774,5.942549577659861,188.63091485940788,56.82668766612785
2019-03-22,7601.0,7745.0,7601.0,7601.0,4864.5302734375,23476,-1,172.14821518207918,-13.18615974186298,185.33437492394216,53.62658990607658
2019-03-25,7801.0,7899.0,7600.0,7816.5,5002.44677734375,597,1,169.80765562125362,-12.421375442150861,182.22903106340448,59.94829909020854
2019-03-26,7775.0,7880.0,7760.0,7775.0,4975.88818359375,57763,-1,162.72821259643297,-15.600654773577219,178.3288673700102,58.3000608209198
2019-03-27,7721.0,7800.0,7700.0,7721.0,4941.32861328125,35231,-1,151.0194955530951,-21.84749745353207,172.86699300662718,56.13722086915571
2019-03-28,7930.5,7989.0,7719.0,7930.5,5075.40625,15266,1,156.83723011397706,-12.823810314120095,169.66104042809715,62.02355175263585
2019-03-29,8080.0,8199.0,7960.0,8080.0,5171.083984375,71836,1,171.53389132134726,1.498280714600071,170.03561060674718,65.57395370195545
2019-04-01,8163.10009765625,8255.0,8149.0,8163.10009765625,5224.26611328125,49254,1,187.7226349142711,14.14961944601913,173.57301546825198,67.39846378680178
2019-04-02,8135.0,8200.0,8112.0,8135.0,5206.2822265625,14174,-1,196.02523096561526,17.961772397890627,178.06345856772464,66.12232411988057
2019-04-03,8070.0,8250.0,8070.0,8070.0,5164.68408203125,154383,-1,195.1110229606502,13.638051514340447,181.47297144630974,63.14400947974254
2019-04-04,8050.0,8150.0,8023.10009765625,8050.0,5151.88427734375,15271,-1,190.57583409111157,7.282290115841448,183.29354397527013,62.21542407274019
2019-04-05,8000.0,8100.0,7998.0,8000.0,5119.88525390625,26862,-1,180.8622150726278,-1.9450631221138508,182.80727819474166,59.84596471655818
2019-04-08,8134.89990234375,8140.0,8020.2001953125,8134.89990234375,5206.21875,33821,1,181.95196770867187,-0.6842483888558206,182.6362160975277,63.84658090313686
