Date,Open,High,Low,Close,Adj Close,Volume
2017-10-26,26475.71875,26590.94921875,26446.125,26525.462890625,20953.125,57133
2017-10-30,26760.330078125,27012.826171875,26527.98046875,26738.291015625,21121.244140625,165891
2017-10-31,26738.291015625,26981.34375,26543.72265625,26949.23046875,21287.869140625,63749
2017-11-02,26949.859375,26981.34375,26540.57421875,26621.802734375,21029.224609375,59081
2017-11-03,26622.431640625,26987.640625,26446.125,26557.576171875,20978.4921875,98699
2017-11-06,26557.576171875,26999.603515625,26557.576171875,26760.958984375,21139.1484375,299534
2017-11-07,26760.330078125,26760.958984375,26446.125,26513.498046875,20943.671875,132653
2017-11-08,26446.125,26760.958984375,26043.134765625,26657.064453125,21057.080078125,39182
2017-11-09,26657.064453125,26657.064453125,25262.345703125,26084.693359375,20604.953125,67589
2017-11-10,26080.916015625,26084.693359375,25314.607421875,25421.021484375,20080.69921875,20969
2017-11-13,25421.021484375,25791.267578125,24966.400390625,25045.109375,19783.755859375,178225
2017-11-14,25186.78515625,26313.89453125,25186.78515625,25567.10546875,20196.09375,229760
2017-11-15,25573.279296875,25779.5703125,25340.880859375,25510.244140625,20151.1796875,184784
2017-11-16,25595.5625,26040.62109375,25373.353515625,25580.283203125,20206.50390625,186075
2017-11-17,25580.283203125,26646.126953125,25580.283203125,26450.658203125,20894.033203125,77720
2017-11-20,25532.529296875,26290.208984375,24704.8125,24948.033203125,19707.076171875,205485
2017-11-21,25149.869140625,25468.22265625,24927.0234375,25301.40625,19986.2109375,107431
2017-11-22,25149.869140625,25467.5859375,24385.822265625,24631.591796875,19457.109375,76500
2017-11-23,24631.591796875,24627.771484375,23940.765625,24244.474609375,19151.3125,74324
2017-11-24,24194.810546875,24576.197265625,24194.810546875,24376.271484375,19255.423828125,107052
2017-11-27,24290.31640625,24576.197265625,24201.177734375,24387.095703125,19263.974609375,86755
2017-11-28,24640.505859375,25277.2109375,24322.15234375,24832.154296875,19615.5390625,116265
2017-11-29,24831.517578125,25149.869140625,24258.482421875,24630.318359375,19456.1015625,100462
2017-11-30,24630.318359375,25276.57421875,23991.064453125,24681.25390625,19496.337890625,787095
2017-12-01,24831.517578125,24815.599609375,23876.458984375,24351.44140625,19235.8125,79906
2017-12-04,23876.458984375,24481.328125,23048.740234375,23900.65234375,18879.720703125,121531
2017-12-05,23875.822265625,23875.822265625,22603.68359375,22865.369140625,18061.92578125,141047
2017-12-06,22865.369140625,22865.369140625,21781.697265625,22436.8671875,17723.44140625,105907
2017-12-07,22794.05859375,22730.388671875,22444.5078125,22579.48828125,17836.1015625,84420
2017-12-11,22284.6953125,24192.263671875,21966.978515625,23913.38671875,18889.78125,4283879
2017-12-12,23940.765625,24194.810546875,23309.791015625,23852.263671875,18841.498046875,143677
2017-12-13,23852.263671875,25467.5859375,23851.626953125,24676.796875,19492.818359375,93916
2017-12-14,24259.755859375,25021.890625,24259.755859375,24545.63671875,19389.2109375,210525
2017-12-15,24608.669921875,26741.6328125,24608.033203125,25274.02734375,19964.5859375,232468
2017-12-18,27059.986328125,27792.197265625,25277.2109375,26963.84375,21299.4140625,649191
2017-12-19,27250.998046875,27442.646484375,25786.57421875,26439.197265625,20884.982421875,210079
2017-12-20,26550.62109375,26740.359375,25468.22265625,25841.33203125,20412.71484375,247268
