,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,Unnamed: 0,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo,Tendencia Sentimiento
109,2015-06-09,16272.427734375,16399.697265625,15923.73046875,16075.994140625,11909.357421875,33802,-1,890,-0.3107301898300648,0.2784589938819408,-0.7959045739844441,0
110,2015-06-10,16039.9609375,17143.58203125,16039.9609375,16766.408203125,12420.8291015625,33807,1,891,-0.2405887399800121,0.1253152713179588,-0.8545443750917912,0
111,2015-06-11,16766.408203125,17196.466796875,16766.408203125,17076.748046875,12650.732421875,21170,1,892,-0.6646245682612062,0.0291532427072525,-0.9093401683494448,0
112,2015-06-12,17076.748046875,17359.19140625,16853.5859375,16961.095703125,12565.0556640625,34846,-1,893,-0.2825145883751767,0.2216266617178917,-0.8526358623057604,0
113,2015-06-15,16961.095703125,17725.32421875,16708.296875,16837.890625,12473.7822265625,30038,-1,896,-0.2621139895636588,0.2569153234362602,-0.7535577919334173,0
114,2015-06-16,16837.890625,16853.5859375,16278.8173828125,16549.05859375,12259.810546875,41080,-1,897,-0.577617878759546,-0.1015080362558364,-0.8286529639735818,0
115,2015-06-17,16549.05859375,16736.1875,16446.77734375,16553.70703125,12263.2548828125,31258,0,898,-0.316553049099942,0.201176717877388,-0.7689981078729033,0
116,2015-06-18,16553.70703125,16570.55859375,16308.4609375,16446.19140625,12183.6064453125,50752,-1,899,-0.2247955609733859,0.1605156362056732,-0.6164412889629602,0
117,2015-06-19,16446.19140625,16824.52734375,16042.869140625,16298.578125,12074.2509765625,22812,-1,900,0.0599255288640658,0.448060929775238,-0.22197125852108,1
118,2015-06-22,16098.6572265625,16504.310546875,16098.6572265625,16338.6767578125,12103.95703125,30299,0,903,-0.1448767234881719,0.1251410394906997,-0.3091771528124809,0
119,2015-06-23,16338.6767578125,16501.40234375,16272.427734375,16317.759765625,12088.4619140625,54994,0,904,-0.39688393819545,0.7223165165632963,-0.8253336288034916,0
120,2015-06-24,16317.759765625,16503.7265625,16214.3095703125,16393.88671875,12144.8564453125,288349,0,905,-0.2832922564353793,0.1944756135344505,-0.8828433747403324,0
121,2015-06-25,16330.5400390625,16388.658203125,16156.197265625,16275.9150390625,12057.462890625,67055,-1,906,-0.4196908697485924,-0.0245701074600219,-0.7819460034370422,0
122,2015-06-26,16275.9150390625,16556.611328125,16223.6083984375,16493.849609375,12218.9111328125,32494,1,907,0.0104032903909683,0.0104032903909683,0.0104032903909683,1
123,2015-06-30,16382.8466796875,16977.759765625,16272.427734375,16332.8642578125,12099.650390625,64623,-1,910,-0.2797863986343145,-0.0221519693732261,-0.4471094589680433,0
124,2015-07-01,16332.8642578125,16421.205078125,16272.427734375,16309.623046875,12082.4345703125,233772,0,911,-0.2595546813099645,0.2387620061635971,-0.8803024697117507,0
125,2015-07-02,16309.623046875,16649.599609375,16278.2392578125,16458.978515625,12193.078125,111220,1,912,-0.293475940823555,0.2852612994611263,-0.8756326846778393,0
126,2015-07-03,16446.77734375,17044.009765625,16371.22265625,16374.1259765625,12130.21875,11159,-1,913,-0.3756246184930205,0.3288353011012077,-0.7486153095960617,0
127,2015-07-06,16371.22265625,16965.71484375,16039.3828125,16070.7666015625,11905.484375,11181,-1,916,-0.3275232665551205,0.0556844770908355,-0.9291523713618516,0
128,2015-07-07,16070.7666015625,16416.5546875,15981.8486328125,16284.05078125,12063.4892578125,56296,1,917,-0.4444987369128145,0.1275801062583923,-0.8436329113319516,0
129,2015-07-08,16284.05078125,16330.5400390625,16039.9609375,16202.107421875,12002.7841796875,10799,-1,918,-0.2812031279318034,0.1446502804756164,-0.8598426869139075,0
130,2015-07-09,16202.107421875,16553.70703125,16149.22265625,16466.53125,12198.673828125,75055,1,919,-0.2952630860317085,0.1424863338470459,-0.8902870621532202,0
131,2015-07-10,16563.0078125,16850.677734375,16272.427734375,16791.98046875,12439.771484375,20371,1,920,-0.2726664513659974,0.2580986246466636,-0.9111819225363432,0
132,2015-07-13,16791.98046875,17021.5390625,16388.658203125,16919.255859375,12534.0595703125,15813,1,923,-0.3937461862473616,0.1450005620718002,-0.9115920821204782,0
133,2015-07-14,16919.255859375,17365.001953125,16853.5859375,17300.494140625,12816.4873046875,50544,1,924,-0.2234004664234817,0.4521171860396862,-0.8299813717603683,0
134,2015-07-15,17300.494140625,17324.3203125,17079.072265625,17315.021484375,12827.25,18584,0,925,-0.3535621662491134,-0.0076609998941421,-0.7075417162850499,0
135,2015-07-17,17299.916015625,17928.12890625,16853.5859375,17147.65234375,12703.259765625,12052,-1,927,-0.3633564270101487,0.2838358804583549,-0.8370378986001015,0
136,2015-07-20,17147.65234375,17149.9765625,16679.23828125,17115.10546875,12679.1484375,29827,0,930,-0.3469861719225134,0.3849223107099533,-0.8547771396115422,0
137,2015-07-21,17115.10546875,17288.87109375,17097.0859375,17223.78515625,12759.6591796875,6133,1,931,-0.2291545267216861,0.3476794436573982,-0.5634066089987755,0
138,2015-07-22,17223.78515625,17307.46875,16621.119140625,17263.8828125,12789.3642578125,45111,0,932,-0.3508281788256551,0.1186045333743095,-0.9231876214034856,0
139,2015-07-23,17263.8828125,17272.01953125,17027.9296875,17250.513671875,12779.4599609375,40595,0,933,-0.3253818776990686,0.0824355632066726,-0.7928121127188206,0
140,2015-07-24,17202.27734375,17826.94921875,17027.9296875,17174.380859375,12723.0595703125,12159,0,934,-0.4953472767956555,-0.1380598023533821,-0.8526347512379289,0
141,2015-07-27,17173.21875,17796.8359375,16970.39453125,17093.021484375,12662.7880859375,40846,0,937,-0.3186619521584362,0.2856585085391998,-0.8435889622196555,0
142,2015-07-28,17093.021484375,17144.166015625,17056.98828125,17057.572265625,12636.5263671875,9178,0,938,-0.2625626387695471,0.1901486292481422,-0.6152561418712139,0
143,2015-07-29,17057.572265625,17142.41796875,16766.408203125,16860.560546875,12490.578125,14573,-1,939,-0.3445589546010726,0.0358482301235199,-0.8568695853464305,0
144,2015-07-30,16860.560546875,17022.1171875,16796.052734375,16862.884765625,12492.2978515625,28879,0,940,-0.3932051913191874,-0.1209144443273544,-0.5436852909624577,0
145,2015-07-31,16862.884765625,17283.642578125,16852.423828125,17241.220703125,12772.5771484375,19626,1,941,-0.4790270710363984,0.2021205686032772,-0.8827735092490911,0
146,2015-08-03,17241.220703125,17241.220703125,17142.41796875,17176.705078125,12724.7802734375,5809,0,944,-0.2547830398194491,0.4856834933161735,-0.835499863140285,0
147,2015-08-04,17176.705078125,17318.5078125,16859.3984375,17271.435546875,12794.9609375,26119,1,945,-0.2151604420505464,0.2909804657101631,-0.5322046130895615,0
148,2015-08-05,17271.435546875,17609.087890625,17271.435546875,17332.45703125,12840.166015625,21052,0,946,0.0843471055850386,0.4115235619246959,-0.4161247164011001,1
149,2015-08-06,17332.45703125,17347.56640625,16853.5859375,17292.357421875,12810.458984375,13826,0,947,-0.5459644957445562,-0.0424653738737106,-0.819266333244741,0
150,2015-08-07,17292.357421875,17292.357421875,16853.5859375,17088.95703125,12659.7763671875,22719,-1,948,-0.3708854760043323,0.2331958189606666,-0.8605103874579072,0
151,2015-08-10,17088.95703125,17405.1015625,17086.046875,17283.642578125,12804.0029296875,9339,1,951,-0.4415932389286657,0.0126113966107368,-0.8083871379494667,0
152,2015-08-11,17283.642578125,17283.642578125,17002.36328125,17068.033203125,12644.27734375,8552,-1,952,-0.3379271706300122,0.0610052272677421,-0.7433745227754116,0
153,2015-08-12,17068.033203125,17144.166015625,16853.5859375,17131.37890625,12691.2041015625,13844,0,953,-0.1815747606257597,0.0922607779502868,-0.5880153439939022,0
154,2015-08-13,17144.166015625,17144.166015625,16969.232421875,16980.27734375,12579.2666015625,17254,-1,954,-0.3162603586912155,0.0561836063861846,-0.4692630134522915,0
155,2015-08-14,17596.884765625,18006.423828125,16980.85546875,17317.345703125,12828.9716796875,68299,1,955,-0.3651071917265653,0.2146756798028946,-0.7675620038062334,0
156,2015-08-17,17317.345703125,17317.9296875,17152.880859375,17174.96484375,12723.4921875,23366,-1,958,-0.2018717851689351,0.4121991544961929,-0.87019820837304,0
157,2015-08-18,17174.96484375,17318.5078125,17086.046875,17155.205078125,12708.8544921875,39484,0,959,-0.0487416622539361,0.2474530898034572,-0.5588154196739197,0
158,2015-08-19,17155.205078125,17318.5078125,17143.00390625,17153.46484375,12707.56640625,7055,0,960,-0.1500828526914119,0.7161994613707066,-0.7440298572182655,0
159,2015-08-20,17153.46484375,17231.3359375,16940.7578125,17094.18359375,12663.6484375,23305,0,961,-0.4673948323354125,0.0222080573439598,-0.8599310461431742,0
160,2015-08-21,17094.18359375,17289.455078125,16947.154296875,17021.5390625,12609.833984375,23370,0,962,-0.2066526305861771,0.2812525704503059,-0.8737166784703732,0
161,2015-08-24,16940.7578125,17405.685546875,16823.943359375,17066.87109375,12643.416015625,52981,0,965,0.0073492651184399,0.5669887568801641,-0.6235776636749506,1
162,2015-08-25,17686.623046875,18064.84375,17115.10546875,17249.349609375,12778.5986328125,14961,1,966,-0.3208649834956635,0.334630262106657,-0.7876251637935638,0
163,2015-08-26,17583.521484375,17875.25,17217.005859375,17740.578125,13142.5078125,108237,1,967,-0.0756584438495338,0.3984538838267326,-0.7988289017230272,0
164,2015-08-27,17740.578125,18116.806640625,17694.078125,17947.716796875,13295.9599609375,25017,1,968,-0.3694445765059855,-0.0249542593955993,-0.7964933663606644,0
165,2015-08-28,17947.716796875,17953.751953125,17663.884765625,17904.83984375,13264.1982421875,13960,0,969,-0.3859574628528207,0.2252937480807304,-0.9197186320088804,0
166,2015-08-31,17904.83984375,18297.9765625,17603.494140625,18275.62890625,13538.884765625,38862,1,972,-0.2724894325678738,0.3229316398501396,-0.9238132000900804,0
167,2015-09-01,18176.58984375,18478.662109375,17575.111328125,17829.3515625,13208.2734375,27348,-1,973,-0.3993966610170901,-0.0533360391855239,-0.8644838598556817,0
168,2015-09-02,17829.3515625,18055.8125,17754.470703125,18002.669921875,13336.6708984375,28671,1,974,-0.3657259525997298,0.1126362234354019,-0.8467998541891575,0
169,2015-09-03,18301.849609375,18418.49609375,18049.771484375,18114.994140625,13419.8818359375,31485,1,975,-0.2830477359704673,0.3342000655829906,-0.785444114357233,0
170,2015-09-04,18114.994140625,18114.994140625,17814.857421875,17910.2734375,13268.220703125,7645,-1,976,-0.1328393096725146,0.1372562199831009,-0.5177019760012627,0
171,2015-09-07,17910.2734375,17910.2734375,17663.884765625,17872.830078125,13240.482421875,11755,0,979,-0.1456899347582033,0.3693491965532303,-0.6538289021700621,0
172,2015-09-08,17872.830078125,18086.61328125,17664.486328125,17758.6953125,13155.9287109375,32919,-1,980,-0.1958234043171008,0.0832641720771789,-0.4292435348033905,0
173,2015-09-09,17758.6953125,18047.958984375,17331.744140625,17549.1484375,13000.6943359375,12942,-1,981,-0.3140093463339976,0.3092564083635807,-0.8718721345067024,0
174,2015-09-10,17549.1484375,18026.220703125,17549.1484375,18019.578125,13349.1962890625,17545,1,982,-0.6047016560499158,0.1459220051765442,-0.8273001406341791,0
175,2015-09-11,18019.578125,18027.4296875,17814.857421875,17907.85546875,13266.431640625,14561,-1,983,-0.7497894349507987,-0.7023174129426479,-0.7972614569589496,0
176,2015-09-14,17907.85546875,18104.73046875,17585.376953125,17879.47265625,13245.40625,8211,0,986,-0.6064104734687135,0.1425815522670745,-0.875268486328423,0
177,2015-09-15,17879.47265625,18104.12109375,17784.6640625,17976.701171875,13317.4326171875,7339,1,987,-0.2181643082294613,0.3009772151708603,-0.8632799619808793,0
178,2015-09-16,17976.701171875,17996.62890625,17603.494140625,17915.70703125,13272.2451171875,23566,0,988,-0.3046861125363244,0.2704730480909347,-0.907352415844798,0
179,2015-09-17,17915.70703125,17996.02734375,17392.13671875,17500.83203125,12964.9013671875,17676,-1,989,-0.1099252734333276,0.1595689058303833,-0.8854765091091394,0
180,2015-09-21,17500.83203125,17965.833984375,17245.388671875,17890.947265625,13253.9033203125,20709,1,992,-0.3040324575932963,0.2710768170654773,-0.8944820184260607,0
181,2015-09-22,18086.005859375,18116.806640625,17422.328125,17544.91796875,12997.5595703125,13252,-1,993,-0.2097026844109807,0.2754779607057571,-0.8534437343478203,0
182,2015-09-23,17544.91796875,17549.1484375,17210.96484375,17276.791015625,12798.927734375,44050,-1,994,-0.0916091196238994,0.1943196281790733,-0.7376288361847401,0
183,2015-09-24,17271.3515625,17558.380859375,17180.771484375,17263.505859375,12789.0869140625,30467,0,995,-0.4027025639079511,-0.1330950856208801,-0.7223405856639147,0
184,2015-09-25,17263.505859375,17392.13671875,17120.380859375,17169.900390625,12719.7412109375,23567,-1,996,-0.2543091350235045,0.2373473197221756,-0.8553195763379335,0
185,2015-09-28,17120.982421875,17405.513671875,16825.681640625,16831.115234375,12468.763671875,48347,-1,999,-0.2892422303557396,0.1273025497794151,-0.7986761201173067,0
186,2015-09-29,17110.828125,17466.29296875,16921.09765625,17061.197265625,12639.2119140625,18200,1,1000,-0.1686411138091768,0.3813564106822014,-0.640699278563261,0
187,2015-09-30,17061.197265625,17422.328125,16879.42578125,17061.197265625,12639.2119140625,38019,0,1001,-0.3069264496055742,0.4461435414850712,-0.8234485946595669,0
188,2015-10-01,17061.197265625,17271.3515625,16915.056640625,17089.578125,12660.2373046875,22753,0,1002,-0.2521623896900564,0.0350109785795211,-0.7294442858546972,0
189,2015-10-02,17089.578125,17267.728515625,16969.408203125,17140.30859375,12697.818359375,13473,0,1003,-0.5580600049346686,-0.3173355162143707,-0.7812698911875486,0
190,2015-10-05,17210.96484375,17784.6640625,17140.30859375,17741.185546875,13142.958984375,22805,1,1006,-0.3678718052635139,0.1981682032346725,-0.8620260776951909,0
191,2015-10-06,17741.185546875,18055.8125,17721.2578125,17957.375,13303.115234375,22735,1,1007,-0.3832503410263194,-0.0006676241755485,-0.7789653893560171,0
192,2015-10-07,17957.375,17957.982421875,17452.521484375,17534.654296875,12989.9560546875,30886,-1,1008,-0.2744115018285811,0.1367446407675743,-0.8563476391136646,0
193,2015-10-08,17452.521484375,17742.560546875,17332.345703125,17377.640625,12873.6376953125,6907,-1,1009,-0.0986130503671509,0.1584056541323661,-0.5846390463411808,0
194,2015-10-09,17377.640625,17512.9140625,17151.181640625,17396.359375,12887.505859375,43705,0,1010,-0.4426213342230767,0.1332081258296966,-0.8237443808466196,0
195,2015-10-13,17392.13671875,17681.16796875,17029.794921875,17287.658203125,12806.978515625,13091,-1,1014,-0.4413985867674152,-0.1976135671138763,-0.8378529492765665,0
196,2015-10-14,17287.658203125,17289.46875,16985.71484375,17012.88671875,12603.4248046875,22209,-1,1015,-0.3994636581279337,0.3188642300665378,-0.8640074459835887,0
197,2015-10-15,17012.88671875,17277.392578125,16915.056640625,17029.193359375,12615.5048828125,12014,0,1016,0.0059821461327373,0.3290199935436249,-0.3480727113783359,1
198,2015-10-16,17312.1953125,17496.98828125,17029.794921875,17191.037109375,12735.400390625,13307,1,1017,-0.2556041335919872,0.3337381482124328,-0.925823709461838,0
199,2015-10-19,17476.728515625,17733.3515625,17191.638671875,17381.263671875,12876.3232421875,29562,1,1020,-0.2047713084944657,0.2903077527880668,-0.7200657222419977,0
200,2015-10-20,17381.263671875,17381.263671875,17162.654296875,17171.7109375,12721.0830078125,14086,-1,1021,-0.2414971639712651,0.3948595598340034,-0.6536191701889038,0
201,2015-10-21,17171.7109375,17223.041015625,16945.25,17017.71875,12607.0029296875,56276,-1,1022,-0.1092391023412346,0.0873711034655571,-0.3299742080271244,0
202,2015-10-22,17017.71875,17099.849609375,16999.6015625,17058.18359375,12636.9794921875,41221,0,1023,-0.2072373714298009,0.2340119555592537,-0.8323389180004597,0
203,2015-10-23,17058.18359375,17268.3359375,16975.443359375,17092.599609375,12662.4755859375,62062,0,1024,-0.2662310660816729,0.1231832280755043,-0.4607591219246387,0
204,2015-10-26,17092.599609375,17204.923828125,17029.794921875,17089.578125,12660.2373046875,22554,0,1027,-0.1566153294406831,0.48311498016119,-0.5315392054617405,0
205,2015-10-27,17089.578125,17143.9296875,17029.794921875,17086.564453125,12658.0048828125,31067,0,1028,-0.4084042724221944,0.011210486292839,-0.7521307375282049,0
206,2015-10-28,17086.564453125,17150.572265625,16969.408203125,17043.6875,12626.2392578125,41719,0,1029,-0.2890295216015407,0.1465467438101768,-0.8305602706968784,0
207,2015-10-29,17043.6875,17207.9453125,16939.208984375,17047.310546875,12628.9248046875,21318,0,1030,-0.3559703059228403,0.3268898949027061,-0.8501735087484121,0
208,2015-10-30,17047.310546875,17078.111328125,16999.6015625,17029.794921875,12615.94921875,61850,0,1031,-0.065821091334025,0.1764549240469932,-0.5327507667243481,0
209,2015-11-02,17029.794921875,17151.181640625,17029.794921875,17124.609375,12686.1875,43130,1,1034,-0.3523174117629726,0.2524061612784862,-0.8599775237962604,0
210,2015-11-03,17124.609375,17204.923828125,17029.794921875,17106.4921875,12672.7666015625,9045,0,1035,-0.4217265266925096,0.4231504164636135,-0.9155210480093956,0
211,2015-11-04,17106.4921875,17204.923828125,17029.193359375,17047.912109375,12629.3701171875,15255,0,1036,-0.4929500743746757,0.0075831338763237,-0.8318033553659916,0
