,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,CCI_14,WILLR_14,TSI_13_25_13,CMO,COPP,ATR_14,RSI_14,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
1899,2022-08-11,19837.73828125,20065.724609375,19822.93359375,19837.73828125,17934.974609375,12458,-1,-36.92832581369511,-64.11593443624943,-8.928327529340574,-13.481395579530837,-1.028477658879989,450.6033611383597,43.25930221023458,-0.1430577947758138,0.3792657628655433,-0.8262005839496851
1900,2022-08-12,20281.8671875,20344.78515625,19877.7109375,20281.8671875,18336.50390625,16661,1,118.18239533163572,-8.236410076780098,-6.95492101280337,4.034739825887259,0.0288821520649926,454.6350406999055,52.01736991294363,-0.0655018207975305,0.7576123205944896,-0.7453619334846735
1901,2022-08-16,20503.931640625,20725.255859375,20272.244140625,20503.931640625,18537.26953125,23953,1,243.5920364643507,-19.34024897681929,-4.125888624197836,11.398652666467804,1.114751276601175,454.5190891320551,55.6993263332339,-0.1517421250755433,0.4181231409311294,-0.85029530338943
1902,2022-08-17,20278.90625,20503.931640625,20134.564453125,20278.90625,18333.828125,44066,-1,120.20341331033843,-39.00392205052584,-3.024634849121588,2.7909613296507647,1.591982185800589,448.4368104440511,51.395480664825385,-0.2124605780981224,0.3708866760134697,-0.743306752294302
1903,2022-08-18,20133.82421875,20357.369140625,19989.482421875,20133.82421875,18202.66015625,17344,-1,39.5213889635188,-51.681805303813846,-2.8980999774813725,-2.4430167070275037,1.870919708993024,442.6832324659046,48.77849164648625,-0.2431435914089282,0.4952896758913994,-0.8656902806833386
1904,2022-08-19,20119.01953125,20132.34375,19874.75,20119.01953125,18189.275390625,5082,0,-31.646999268696508,-52.97550169136296,-2.8737900250712003,-2.985869733457939,1.9798098532235369,429.5683029147686,48.50706513327104,-0.2217942687252966,0.3100613839924335,-0.8350742114707828
1905,2022-08-22,19948.771484375,20124.94140625,19928.044921875,19948.771484375,18035.357421875,5121,-1,-49.76558483668584,-67.8524981311378,-3.757492384417433,-9.240256549422195,1.4006850567631444,412.9488873047851,45.37987172528889,-0.1844764683573019,0.3777069374918937,-0.8174520526081324
1906,2022-08-23,20022.79296875,20281.8671875,19949.51171875,20022.79296875,18102.279296875,45018,0,-2.050864865605271,-61.3841868657389,-4.050888941031063,-6.03932038173853,0.9193728396430022,407.2450884348005,46.98033980913073,-0.1239223814569413,0.3668916672468185,-0.6758309882134199
1907,2022-08-24,20075.34765625,20430.650390625,20022.79296875,20075.34765625,18149.79296875,20810,0,40.4354805617962,-56.79173536228619,-3.9816005806189776,-3.7156373101797184,0.8293108490044719,407.2888265376718,48.14218134491014,-0.290835388302803,0.3439792394638061,-0.7818097667768598
1908,2022-08-25,20503.931640625,21059.091796875,20078.30859375,20503.931640625,18537.26953125,17039,1,195.65763409334775,-42.90613669366646,-1.3827711073979625,13.023111397284415,1.4858243524089207,448.4642061153381,56.511555698642205,-0.162636199966073,0.3555827364325523,-0.6281393561512232
