,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,Histogram,CCI_14,WILLR_14,ROC_10,TSI_13_25_13,CMO,COPP,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
1188,2019-10-10,7985.0,8039.89990234375,7925.0,7985.0,6227.408203125,24984,0,17.99082411809519,-30.14552520635805,-60.09787512662271,-1.1879717856700904,-23.849735648471285,-21.03467792475102,-4.157474847382824,-0.2158268574359161,0.4401770420372486,-0.7790812952443957
1189,2019-10-11,7989.0,8049.89990234375,7960.2998046875,7989.0,6230.52734375,23791,0,19.94595715398069,-11.381780766899324,-59.28271343762999,-2.215422276621787,-23.402818809807144,-20.45307449471183,-3.8271690623794674,-0.1757484175974414,0.3178202025592327,-0.7882015304639935
1190,2019-10-14,7860.10009765625,8000.0,7850.2001953125,7860.10009765625,6130.0,42188,-1,13.18103457747759,-88.49541403100596,-85.55127896401228,-3.499036188419694,-24.52934657263176,-31.82243206562845,-4.142453244592994,-0.162649697757193,0.2871722429990768,-0.7043605986982584
1191,2019-10-15,7994.0,7994.0,7801.0,7994.0,6234.4267578125,68693,1,18.04640584148885,-63.75405213649985,-59.69934379295017,-1.6486220472440944,-22.891904536305017,-13.650675749512748,-3.68720799242096,-0.3241055333521217,0.0138063505291938,-0.7544019119814038
1192,2019-10-16,7897.0,7994.0,7840.2001953125,7897.0,6158.77783203125,15094,-1,15.169745414564916,-72.65138832329133,-79.95407774157106,-1.410736579275905,-22.731977879899063,-22.035267733712065,-3.843183861950468,-0.2817219313500183,0.1558342352509498,-0.8922290168702602
1193,2019-10-17,7800.0,7900.0,7771.39990234375,7800.0,6083.12744140625,45771,-1,7.55675388655348,-148.57658670479904,-93.32709026137738,-1.278319200101253,-23.75428725289271,-29.416222917342196,-4.367772542909717,-0.3610561057659132,0.0590288788080215,-0.8053295612335205
1194,2019-10-18,7900.0,7900.0,7800.0,7900.0,6161.1171875,420725,1,9.929063779529711,-100.87850563530183,-69.92514773473408,-1.0025062656641603,-22.670963828633592,-17.107524619293766,-4.13353382159818,-0.5653677554801106,-0.0470467284321785,-0.9080379102379084
1195,2019-10-21,7770.0,7885.0,7600.0,7770.0,6059.73193359375,56506,-1,3.734913728240244,-220.8573788725452,-62.906377384141024,-2.2395571212883745,-23.34166563859972,-26.847950383829883,-4.688949362273371,-0.4946365332230925,0.030973769724369,-0.8688055640086532
1196,2019-10-22,7700.0,7884.2001953125,7600.39990234375,7700.0,6005.13916015625,106164,-1,-3.683272669991595,-188.11456018453177,-77.77283358385925,-3.327055869428751,-24.658747124683604,-31.51454975492715,-5.1970318466904,-0.4042769580976003,0.1924705915153026,-0.8547185836359859
1197,2019-10-23,7650.0,7700.0,7610.0,7650.0,5966.14501953125,18481,-1,-10.195039548178684,-183.55439857857192,-88.88641679192963,-4.015056461731493,-26.24424278054608,-34.71804313661177,-5.670832036069087,-0.4966114624893586,-0.0568488240242004,-0.923536941409111
